     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,       277,         0,   0.062,pymatching,f5288096c3e3918c67ef432b441555e54de72df1b1ab3e8d04ade796dd530024,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":15}}",
         1,         0,         0,   0.031,pymatching,aa60085897a0edb0144d84e7b91b73d3654a2fb44acf739914ff0d1e3924b01f,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":39}}",
       256,        60,         0,   0.063,pymatching,a248808f8d64585ab12e472cc2a1bfae7203a1069f2fa698caca14347de136bc,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":9,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":27}}",
      3072,       424,         0,   0.078,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
        16,         4,         0,   0.031,pymatching,aa60085897a0edb0144d84e7b91b73d3654a2fb44acf739914ff0d1e3924b01f,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":39}}",
       273,        41,         0,   0.016,pymatching,0f919f45bdec3f691bb0caf190a4da132f80f46e16425338d4f0d654699dd963,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":15}}",
      3072,       455,         0,   0.079,pymatching,0c441113cdff765feb19cbeb3b8af95fbb5654bf930fdb42a96712f565f5900c,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":15}}",
      1024,       132,         0,   0.016,pymatching,0f919f45bdec3f691bb0caf190a4da132f80f46e16425338d4f0d654699dd963,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":15}}",
      3072,       412,         0,   0.078,pymatching,f5288096c3e3918c67ef432b441555e54de72df1b1ab3e8d04ade796dd530024,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":15}}",
      1024,       152,         0,   0.031,pymatching,0f919f45bdec3f691bb0caf190a4da132f80f46e16425338d4f0d654699dd963,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":15}}",
       273,        39,         0,   0.015,pymatching,e67eac6417feb635532276a8886fbd62c9481e598dca55d3da6b6da650c70c7f,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00053,""params"":{""after_clifford1_depolarization"":5.3e-05,""after_clifford2_depolarization"":0.00053,""after_reset_flip_probability"":0.00106,""before_measure_flip_probability"":0.00106,""before_round_data_bias_probability"":[5.3e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000424,""rounds"":15}}",
       256,        66,         0,   0.203,pymatching,ef7d1038fe4e935af90262863d276bdbee2b4f5414ecdeda225d36f603b9eca9,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":39}}",
         1,         0,         0,   0.031,pymatching,36154765605394228f2cf2fc78465f277ba418152ab7197f57390ab09b1b04f8,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":39}}",
      3072,       472,         0,   0.078,pymatching,0c441113cdff765feb19cbeb3b8af95fbb5654bf930fdb42a96712f565f5900c,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":15}}",
      1024,       157,         0,   0.032,pymatching,e67eac6417feb635532276a8886fbd62c9481e598dca55d3da6b6da650c70c7f,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00053,""params"":{""after_clifford1_depolarization"":5.3e-05,""after_clifford2_depolarization"":0.00053,""after_reset_flip_probability"":0.00106,""before_measure_flip_probability"":0.00106,""before_round_data_bias_probability"":[5.3e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000424,""rounds"":15}}",
      2048,       282,         0,   0.047,pymatching,0f919f45bdec3f691bb0caf190a4da132f80f46e16425338d4f0d654699dd963,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":15}}",
      4096,       551,         0,   0.110,pymatching,3ef7c2ec5bc47a40a50500194f97aefa93cdc9b7c28e856a822bbc2b163750a8,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.00051,""params"":{""after_clifford1_depolarization"":5.1000000000000006e-05,""after_clifford2_depolarization"":0.00051,""after_reset_flip_probability"":0.00102,""before_measure_flip_probability"":0.00102,""before_round_data_bias_probability"":[5.1000000000000006e-05,100],""distance"":5,""nswaps"":[10,9],""pswap_depolarization"":0.00040800000000000005,""rounds"":15}}",
      1024,       211,         0,   0.187,pymatching,ebd526dea22bc02cba4cc6c8c867d0944ac0a91366a40496d9b7f3b6cc35ef2e,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0005,""params"":{""after_clifford1_depolarization"":5e-05,""after_clifford2_depolarization"":0.0005,""after_reset_flip_probability"":0.001,""before_measure_flip_probability"":0.001,""before_round_data_bias_probability"":[5e-05,100],""distance"":9,""nswaps"":[10,9],""pswap_depolarization"":0.0004,""rounds"":27}}",
         1,         0,         0,   0.031,pymatching,d1d590ae835a70bda573ba0e54f847f771de30f37da3e740900a3f1fbbf24ed5,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00053,""params"":{""after_clifford1_depolarization"":5.3e-05,""after_clifford2_depolarization"":0.00053,""after_reset_flip_probability"":0.00106,""before_measure_flip_probability"":0.00106,""before_round_data_bias_probability"":[5.3e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.000424,""rounds"":39}}",
        16,         6,         0,   0.047,pymatching,36154765605394228f2cf2fc78465f277ba418152ab7197f57390ab09b1b04f8,"{""d"":13,""eta"":100,""memory"":""V"",""p"":0.00052,""params"":{""after_clifford1_depolarization"":5.2e-05,""after_clifford2_depolarization"":0.00052,""after_reset_flip_probability"":0.00104,""before_measure_flip_probability"":0.00104,""before_round_data_bias_probability"":[5.2e-05,100],""distance"":13,""nswaps"":[10,9],""pswap_depolarization"":0.000416,""rounds"":39}}",
         1,         0,         0,   0.062,pymatching,ce5586f7622a5a8705d588ca4cf84efb0e42788e7324b8d88eec25faeb458bad,"{""d"":17,""eta"":100,""memory"":""V"",""p"":0.00049,""params"":{""after_clifford1_depolarization"":4.9e-05,""after_clifford2_depolarization"":0.00049,""after_reset_flip_probability"":0.00098,""before_measure_flip_probability"":0.00098,""before_round_data_bias_probability"":[4.9e-05,100],""distance"":17,""nswaps"":[10,9],""pswap_depolarization"":0.000392,""rounds"":51}}",
