     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         3,         0,   0.016,pymatching,4dbe06af26311293ea7be3564c75b27a3504d376e39cc0a9296516fa35e1c712,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0004,""params"":{""after_clifford1_depolarization"":4e-05,""after_clifford2_depolarization"":0.0004,""after_reset_flip_probability"":0.0008,""before_measure_flip_probability"":0.0008,""before_round_data_bias_probability"":[4e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00032,""rounds"":15}}",
         1,         0,         0,   0.016,pymatching,4dbe06af26311293ea7be3564c75b27a3504d376e39cc0a9296516fa35e1c712,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0004,""params"":{""after_clifford1_depolarization"":4e-05,""after_clifford2_depolarization"":0.0004,""after_reset_flip_probability"":0.0008,""before_measure_flip_probability"":0.0008,""before_round_data_bias_probability"":[4e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00032,""rounds"":15}}",
        17,         0,         0,   0.015,pymatching,45e17d748f74def0b0f5771ac9865bc37233d853df5339cae67e7dfb56cd08a2,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0002,""params"":{""after_clifford1_depolarization"":2e-05,""after_clifford2_depolarization"":0.0002,""after_reset_flip_probability"":0.0004,""before_measure_flip_probability"":0.0004,""before_round_data_bias_probability"":[2e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00016,""rounds"":15}}",
       256,        63,         0,   0.015,pymatching,4dbe06af26311293ea7be3564c75b27a3504d376e39cc0a9296516fa35e1c712,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0004,""params"":{""after_clifford1_depolarization"":4e-05,""after_clifford2_depolarization"":0.0004,""after_reset_flip_probability"":0.0008,""before_measure_flip_probability"":0.0008,""before_round_data_bias_probability"":[4e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00032,""rounds"":15}}",
        17,         0,         0,   0.015,pymatching,45e17d748f74def0b0f5771ac9865bc37233d853df5339cae67e7dfb56cd08a2,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0002,""params"":{""after_clifford1_depolarization"":2e-05,""after_clifford2_depolarization"":0.0002,""after_reset_flip_probability"":0.0004,""before_measure_flip_probability"":0.0004,""before_round_data_bias_probability"":[2e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00016,""rounds"":15}}",
       272,        99,         0,   0.015,pymatching,4dbe06af26311293ea7be3564c75b27a3504d376e39cc0a9296516fa35e1c712,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0004,""params"":{""after_clifford1_depolarization"":4e-05,""after_clifford2_depolarization"":0.0004,""after_reset_flip_probability"":0.0008,""before_measure_flip_probability"":0.0008,""before_round_data_bias_probability"":[4e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00032,""rounds"":15}}",
       256,        22,         0,   0.016,pymatching,45e17d748f74def0b0f5771ac9865bc37233d853df5339cae67e7dfb56cd08a2,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0002,""params"":{""after_clifford1_depolarization"":2e-05,""after_clifford2_depolarization"":0.0002,""after_reset_flip_probability"":0.0004,""before_measure_flip_probability"":0.0004,""before_round_data_bias_probability"":[2e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00016,""rounds"":15}}",
        17,         2,         0,   0.016,pymatching,45e17d748f74def0b0f5771ac9865bc37233d853df5339cae67e7dfb56cd08a2,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0002,""params"":{""after_clifford1_depolarization"":2e-05,""after_clifford2_depolarization"":0.0002,""after_reset_flip_probability"":0.0004,""before_measure_flip_probability"":0.0004,""before_round_data_bias_probability"":[2e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00016,""rounds"":15}}",
      1280,       105,         0,   0.031,pymatching,45e17d748f74def0b0f5771ac9865bc37233d853df5339cae67e7dfb56cd08a2,"{""d"":5,""eta"":100,""memory"":""V"",""p"":0.0002,""params"":{""after_clifford1_depolarization"":2e-05,""after_clifford2_depolarization"":0.0002,""after_reset_flip_probability"":0.0004,""before_measure_flip_probability"":0.0004,""before_round_data_bias_probability"":[2e-05,100],""distance"":5,""nswaps"":[20,19],""pswap_depolarization"":0.00016,""rounds"":15}}",
         1,         0,         0,   0.031,pymatching,c36cdb95041fb3d4678aa8f3f6ef419912f465634dd9f5d86098c9b983cfeea6,"{""d"":9,""eta"":100,""memory"":""V"",""p"":0.0002,""params"":{""after_clifford1_depolarization"":2e-05,""after_clifford2_depolarization"":0.0002,""after_reset_flip_probability"":0.0004,""before_measure_flip_probability"":0.0004,""before_round_data_bias_probability"":[2e-05,100],""distance"":9,""nswaps"":[20,19],""pswap_depolarization"":0.00016,""rounds"":27}}",
